NN Length,NN Time (ms),Two-Opt Length,Two-Opt Time (ms)
35798.4089742819,9,30514.9644916485,2394,
35798.4089742819,0,30514.9644916485,2210,
35798.4089742819,0,30514.9644916485,2207,
35798.4089742819,0,30514.9644916485,2206,
35798.4089742819,1,30514.9644916485,2200,
35798.4089742819,1,30514.9644916485,2199,
