NN Length,NN Time (ms),Two-Opt Length,Two-Opt Time (ms)
46881.8660383116,16,40031.736801804,43236,
46881.8660383116,6,40031.736801804,42990,
46881.8660383116,6,40031.736801804,43157,
46881.8660383116,6,40031.736801804,42999,
46881.8660383116,6,40031.736801804,43066,
46881.8660383116,6,40031.736801804,48438,
